href,stress_address,city,state_and_zip,county,img_href,beds,bath,area,year_built,lot_size,walk_score,transit_score,bike_score,cooling,heating,has_pool,price
https://www.redfin.com/NJ/Magnolia/201-Lincoln-Ave-08049/home/36255104,201 W Lincoln Ave,Magnolia, NJ 08049,Camden County,https://ssl.cdn-redfin.com/photo/235/bigphoto/084/NJCD2005084_5.jpg,4,2,2234,1930,0,43,0,39,0,0,0,275000
https://www.redfin.com/FL/Cutler-Bay/22721-SW-88th-Pl-33190/unit-15-19/home/43472651,22721 SW 88th Pl Unit 15-19,Cutler Bay, FL 33190,Miami-Dade County,https://ssl.cdn-redfin.com/photo/105/bigphoto/519/A11120519_0.jpg,3,2.5,1515,2010,0,3,16,52,1,1,0,325000
https://www.redfin.com/VA/Gordonsville/4704-Kloeckner-Rd-22942/home/128282089,4704 Kloeckner Rd,Gordonsville, VA 22942,Louisa County,https://ssl.cdn-redfin.com/photo/235/bigphoto/236/VALA123236_2.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/236/genMid.VALA123236_27_2.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/236/genMid.VALA123236_83_2.jpg,5,3.5,5117,2005,0,4,0,12,0,0,0,960000
https://www.redfin.com/VA/Middletown/121-Turkey-Ln-22645/home/21470864,121 Turkey Ln,Middletown, VA 22645,Warren County,https://ssl.cdn-redfin.com/photo/235/bigphoto/338/VAWR2000338_7.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/338/genMid.VAWR2000338_7_7.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/338/genMid.VAWR2000338_23_7.jpg,6,3.5,4708,1997,0,0,0,0,0,0,0,699999
https://www.redfin.com/CA/Oxnard/2327-Nicklaus-St-93036/home/146056119,2327 Nicklaus St,Oxnard, CA 93036,Ventura County,https://ssl.cdn-redfin.com/photo/53/bigphoto/974/V1-8974_0.jpg https://ssl.cdn-redfin.com/photo/53/mbpaddedwide/974/genMid.V1-8974_2_0.jpg https://ssl.cdn-redfin.com/photo/53/mbpaddedwide/974/genMid.V1-8974_8_0.jpg,3,2.5,2329,2019,0,27,26,41,0,0,0,849900
https://www.redfin.com/NY/West-Valley/6067-Ashford-Hollow-Rd-14171/home/72661244,6067 Ashford Hollow Rd,Ashford, NY 14171,Cattaraugus County,https://ssl.cdn-redfin.com/photo/191/bigphoto/108/B1377108_0.jpg https://ssl.cdn-redfin.com/photo/191/mbpaddedwide/108/genMid.B1377108_6_0.jpg https://ssl.cdn-redfin.com/photo/191/mbpaddedwide/108/genMid.B1377108_18_0.jpg,3,2,1215,1980,0,0,0,0,0,0,0,162750
https://www.redfin.com/CA/Glendale/1329-Garden-St-91201/home/7150778,1329 Garden St,Glendale, CA 91201,Los Angeles County,https://ssl.cdn-redfin.com/photo/45/bigphoto/642/BB21206642_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/642/genMid.BB21206642_13_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/642/genMid.BB21206642_39_0.jpg,4,4,2065,1939,0,57,37,92,0,0,0,1850000
https://www.redfin.com/FL/Sarasota/3644-Bali-Dr-34232/home/47644129,3644 Bali Dr,SARASOTA, FL 34232,Sarasota County,https://ssl.cdn-redfin.com/photo/118/bigphoto/059/A4515059_0.jpg https://ssl.cdn-redfin.com/photo/118/mbpaddedwide/059/genMid.A4515059_3_0.jpg https://ssl.cdn-redfin.com/photo/118/mbpaddedwide/059/genMid.A4515059_10_0.jpg,2,2,998,1960,0,27,22,52,0,0,0,269000
https://www.redfin.com/MA/Boston/636-Beacon-St-02215/unit-405/home/175770209,636 Beacon #405,Boston, MA 02215,Suffolk County,https://ssl.cdn-redfin.com/photo/52/bigphoto/414/72869414_0.jpg https://ssl.cdn-redfin.com/photo/52/mbpaddedwide/414/genMid.72869414_3_0.jpg https://ssl.cdn-redfin.com/photo/52/mbpaddedwide/414/genMid.72869414_9_0.jpg,1,1,511,1968,0,95,86,90,0,0,0,549000
https://www.redfin.com/MO/Kansas-City/1111-W-46th-St-64112/unit-15/home/93072441,1111 W 46 St #15,Kansas City, MO 64112,Jackson County,https://ssl.cdn-redfin.com/photo/157/bigphoto/278/2347278_2.jpg https://ssl.cdn-redfin.com/photo/157/mbpaddedwide/278/genMid.2347278_6_2.jpg https://ssl.cdn-redfin.com/photo/157/mbpaddedwide/278/genMid.2347278_20_2.jpg,2,3,2200,1966,0,72,36,40,0,0,0,395000
https://www.redfin.com/NY/Great-Neck/32-Old-Mill-Rd-11023/home/22848940,32 Old Mill Rd,Great Neck, NY 11023,Nassau County,https://ssl.cdn-redfin.com/photo/269/bigphoto/120/3303120_1.jpg https://ssl.cdn-redfin.com/photo/269/mbpaddedwide/120/genMid.3303120_8_1.jpg https://ssl.cdn-redfin.com/photo/269/mbpaddedwide/120/genMid.3303120_24_1.jpg,8,10.5,10000,2009,0,35,0,26,1,2,0,9500000
https://www.redfin.com/FL/Deltona/1854-N-Normandy-Blvd-32725/home/62130408,1854 N Normandy Blvd,DELTONA, FL 32725,Volusia County,https://ssl.cdn-redfin.com/photo/118/bigphoto/171/O5983171_0.jpg,3,2,1108,2000,0,23,0,29,0,0,0,235000
https://www.redfin.com/CO/Denver/931-S-Newton-St-80219/home/34233611,931 S Newton St,Denver, CO 80219,Denver County,https://ssl.cdn-redfin.com/photo/94/bigphoto/281/4181281_0.jpg https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/281/genMid.4181281_7_0.jpg https://ssl.cdn-redfin.com/photo/94/mbpaddedwide/281/genMid.4181281_21_0.jpg,2,2,952,2001,0,49,40,54,0,0,0,318900
