href,stress_address,city,state_and_zip,county,img_href,beds,bath,area,year_built,lot_size,walk_score,transit_score,bike_score,lot_size,cooling,heating,has_pool,parking_size,price
https://www.redfin.com/IL/Elmwood-Park/1614-N-76th-Ave-60707/home/13521340,1614 N 76th Ave,Elmwood Park, IL 60707,Cook County,https://ssl.cdn-redfin.com/photo/68/bigphoto/740/11263740_1.jpg https://ssl.cdn-redfin.com/photo/68/mbpaddedwide/740/genMid.11263740_7_1.jpg https://ssl.cdn-redfin.com/photo/68/mbpaddedwide/740/genMid.11263740_22_1.jpg,3,1.5,—,1941,None,78,49,55,None,Central Air,Natural Gas,None,None,$439900
https://www.redfin.com/GA/Columbus/4365-Pinebrook-Dr-31907/home/138736714,4365 Pinebrook Dr,Columbus, GA 31907,Muscogee County,https://ssl.cdn-redfin.com/photo/81/bigphoto/645/9064645_4.jpg https://ssl.cdn-redfin.com/photo/81/mbpaddedwide/645/genMid.9064645_1_4.jpg,3,1,—,1951,0.3,31,None,20,0.3,Electric| Ceiling Fan(s),Electric| Floor Furnace,None,None,$55000
https://www.redfin.com/TX/Yantis/133-CR-1802-75497/home/174537993,133 CR 1802,Yantis, TX 75497,Wood County,https://ssl.cdn-redfin.com/photo/90/bigphoto/780/14435780_2.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/780/genMid.14435780_7_2.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/780/genMid.14435780_22_2.jpg,—,—,—,—,None,6,None,26,None,None,None,None,None,$3100000
https://www.redfin.com/UT/Logan/144-E-520-N-84321/home/176723125,144 E 520 N,Logan, UT 84341,None,https://ssl.cdn-redfin.com/photo/113/bigphoto/946/2092946_B.jpg https://ssl.cdn-redfin.com/photo/113/mbpaddedwide/946/genMid.2092946_17_E.jpg https://ssl.cdn-redfin.com/photo/113/mbpaddedwide/946/genMid.2092946_51_C.jpg,3,2,1578,None,None,46,None,58,None,None,None,None,None,$519000
https://www.redfin.com/IA/Perry/1102-28th-ST-50220/home/176369336,1102 28th St,Perry, IA 50220,Dallas County,https://ssl.cdn-redfin.com/photo/233/bigphoto/488/637488_2.jpg https://ssl.cdn-redfin.com/photo/233/mbpaddedwide/488/genMid.637488_1_2.jpg,2,2,1289,—,0.22,13,None,29,0.22,Central Air,Forced Air| Gas| Natural Gas,None,None,$269900
https://www.redfin.com/NC/Morganton/3078-Village-Dr-28655/home/119131963,3078 Village Dr,Morganton, NC 28655,Burke County,https://ssl.cdn-redfin.com/photo/103/bigphoto/718/3801718_1.jpg https://ssl.cdn-redfin.com/photo/103/mbpaddedwide/718/genMid.3801718_7_0.jpg https://ssl.cdn-redfin.com/photo/103/mbpaddedwide/718/genMid.3801718_21_2.jpg,3,2.5,1440,1993,None,1,None,3,None,None,None,None,None,$224900
https://www.redfin.com/MD/Clear-Spring/11868-National-Pike-21722/home/17432834,11868 National Pike,Clear Spring, MD 21722,Washington County,https://ssl.cdn-redfin.com/photo/235/bigphoto/594/MDWA2000594_2.jpg,—,—,1.21,—,None,7,None,10,None,None,None,None,None,$39900
https://www.redfin.com/TX/LYTLE/18210-MAUREEN-PATH-78052/home/48774319,18210 Maureen Path,Lytle, TX 78052,Atascosa County,https://ssl.cdn-redfin.com/photo/108/bigphoto/018/1546018_0.jpg https://ssl.cdn-redfin.com/photo/108/mbpaddedwide/018/genMid.1546018_7_0.jpg https://ssl.cdn-redfin.com/photo/108/mbpaddedwide/018/genMid.1546018_21_0.jpg,4,2,2139,1930,None,11,None,28,None,None,None,None,None,$195000
https://www.redfin.com/OH/Columbus/109-S-Richardson-Ave-43204/home/75592437,109-111 S Richardson Ave,Columbus, OH 43204,Franklin County,https://ssl.cdn-redfin.com/photo/160/bigphoto/127/221043127_1.jpg https://ssl.cdn-redfin.com/photo/160/mbpaddedwide/127/genMid.221043127_4_0.jpg https://ssl.cdn-redfin.com/photo/160/mbpaddedwide/127/genMid.221043127_14_0.jpg,—,—,1761,1920,None,61,37,61,None,None,None,None,None,$119900
https://www.redfin.com/AZ/Phoenix/2617-W-Moura-Dr-85085/home/88365588,2617 W MOURA Dr,Phoenix, AZ 85085,Maricopa County,https://ssl.cdn-redfin.com/photo/86/bigphoto/535/6316535_0.jpg https://ssl.cdn-redfin.com/photo/86/mbpaddedwide/535/genMid.6316535_7_0.jpg https://ssl.cdn-redfin.com/photo/86/mbpaddedwide/535/genMid.6316535_22_0.jpg,4,4,2707,2017,None,5,0,36,None,None,None,None,None,$765000
https://www.redfin.com/MD/Annapolis/2711-Summerview-Way-21401/unit-9202/home/10052243,2711 Summerview #9202,Annapolis, MD 21401,Anne Arundel County,https://ssl.cdn-redfin.com/photo/235/bigphoto/902/MDAA2011902_2.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/902/genMid.MDAA2011902_13_2.jpg https://ssl.cdn-redfin.com/photo/235/mbpaddedwide/902/genMid.MDAA2011902_39_1.jpg,1,1.5,1266,1991,None,5,20,1,None,None,None,None,None,$295000
https://www.redfin.com/IL/Buffalo-Grove/973-Pine-Tree-Cir-S-60089/home/17638939,973 Pine Tree Cir S #0,Buffalo Grove, IL 60089,Lake County,https://ssl.cdn-redfin.com/system_files/media/618777_JPG/item_16.jpg https://ssl.cdn-redfin.com/system_files/media/618777_JPG/genLdpUgcMediaBrowserUrl/item_26.jpg https://ssl.cdn-redfin.com/system_files/media/618777_JPG/genLdpUgcMediaBrowserUrl/item_27.jpg,2,1,1035,1988,None,28,None,59,None,Central Air,Natural Gas,None,None,$212000
https://www.redfin.com/MO/Potosi/200-Missouri-21-63664/home/175988160,0 Valley Rd,Potosi, MO 63664,Washington County,https://ssl.cdn-redfin.com/photo/156/bigphoto/279/21056279_1.jpg https://ssl.cdn-redfin.com/photo/156/mbpaddedwide/279/genMid.21056279_1_1.jpg https://ssl.cdn-redfin.com/photo/156/mbpaddedwide/279/genMid.21056279_3_1.jpg,—,—,—,—,None,16,None,13,None,None,None,None,None,$85000
https://www.redfin.com/CA/Norwalk/14008-Elmcroft-Ave-90650/home/7778704,14008 Elmcroft Ave,Norwalk, CA 90650,Los Angeles County,https://ssl.cdn-redfin.com/photo/45/bigphoto/090/DW21245090_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/090/genMid.DW21245090_5_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/090/genMid.DW21245090_17_1.jpg,3,1,1072,1950,None,65,49,51,None,None,None,None,None,$619900
https://www.redfin.com/NY/Brooklyn/1517-Royce-St-11234/unit-3O/home/40661421,1517 Royce St Unit 3o,Brooklyn, NY 11234,Kings County,https://ssl.cdn-redfin.com/photo/187/bigphoto/325/1150325_2.jpg https://ssl.cdn-redfin.com/photo/187/mbpaddedwide/325/genMid.1150325_8_2.jpg https://ssl.cdn-redfin.com/photo/187/mbpaddedwide/325/genMid.1150325_26_2.jpg,2,2,1102,—,None,58,76,57,None,None,None,None,None,$599888
https://www.redfin.com/NY/Johnstown/2344-NY-67-12095/home/73271930,2344 State Highway 67,Johnstown, NY 12095,Fulton County,https://ssl.cdn-redfin.com/photo/175/bigphoto/911/202128911_1.jpg https://ssl.cdn-redfin.com/photo/175/mbpaddedwide/911/genMid.202128911_4_1.jpg https://ssl.cdn-redfin.com/photo/175/mbpaddedwide/911/genMid.202128911_14_1.jpg,—,—,99.80,2004,None,0,None,15,None,None,None,None,None,$1400000
https://www.redfin.com/LA/New-Orleans/2108-Conti-St-70112/home/79272331,2108-10 Conti St,New Orleans, LA 70119,Orleans Parish,https://ssl.cdn-redfin.com/photo/166/bigphoto/410/2320410_1.jpg https://ssl.cdn-redfin.com/photo/166/mbpaddedwide/410/genMid.2320410_8_1.jpg https://ssl.cdn-redfin.com/photo/166/mbpaddedwide/410/genMid.2320410_26_1.jpg,4,2,1500,1920,None,76,78,96,None,None,None,None,None,$269000
https://www.redfin.com/MI/Davisburg/0-Dixie-48350/home/172751889,0 Dixie,Davisburg, MI 48350-,Oakland County,https://ssl.cdn-redfin.com/photo/143/bigphoto/694/40091694_3.jpg,—,—,23.00,—,None,4,None,18,None,None,None,None,None,$499900
https://www.redfin.com/NC/Mooresville/128-Stibbs-Cross-Rd-28115/home/143354361,128 Stibbs Cross Rd,Mooresville, NC 28115,Iredell County,https://ssl.cdn-redfin.com/photo/103/bigphoto/911/3802911_0.jpg https://ssl.cdn-redfin.com/photo/103/mbpaddedwide/911/genMid.3802911_12_0.jpg https://ssl.cdn-redfin.com/photo/103/mbpaddedwide/911/genMid.3802911_36_0.jpg,5,4,3029,2017,None,0,None,16,None,None,None,None,None,$547000
https://www.redfin.com/TX/Dallas/1201-North-St-75203/home/30826466,1201 North St,Dallas, TX 75203,Dallas County,https://ssl.cdn-redfin.com/photo/90/bigphoto/777/14170777_1.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/777/genMid.14170777_1_0.jpg,—,—,8146,—,None,33,56,29,None,None,None,None,None,$87000
https://www.redfin.com/AL/Decatur/4406-Kiowa-Trl-SE-35603/home/134304616,4406 Kiowa Trl SE,Decatur, AL 35603,Morgan County,https://ssl.cdn-redfin.com/photo/252/bigphoto/889/1792889_2.jpg https://ssl.cdn-redfin.com/photo/252/mbpaddedwide/889/genMid.1792889_12_0.jpg https://ssl.cdn-redfin.com/photo/252/mbpaddedwide/889/genMid.1792889_37_0.jpg,4,4,5003,1995,None,0,None,25,None,None,Electric| Natural Gas,None,None,$740474
https://www.redfin.com/NY/Brooklyn/148-Bay-49th-St-11214/unit-3C/home/40925007,148 Bay 49th St Unit 3C,Brooklyn, NY 11214,Kings County,https://ssl.cdn-redfin.com/photo/204/bigphoto/541/456541_0.jpg https://ssl.cdn-redfin.com/photo/204/mbpaddedwide/541/genMid.456541_9_0.jpg https://ssl.cdn-redfin.com/photo/204/mbpaddedwide/541/genMid.456541_27_0.jpg,3,2,1073,2007,None,78,97,64,None,None,None,None,None,$659000
https://www.redfin.com/TX/De-Leon/751-Co-Rd-463-76444/home/73762057,751 County Road 463,De Leon, TX 76444,Comanche County,https://ssl.cdn-redfin.com/photo/90/bigphoto/275/14635275_4.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/275/genMid.14635275_6_3.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/275/genMid.14635275_18_1.jpg,2,1,1344,1920,None,0,None,18,None,None,None,None,None,$127000
https://www.redfin.com/WA/Bellingham/37-Louise-View-Dr-98229/home/15827674,37 Louise View Dr,Listing provided courtesy of Keller Williams Western Realty.,Whatcom County,https://ssl.cdn-redfin.com/photo/1/bigphoto/799/1846799_0.jpg https://ssl.cdn-redfin.com/photo/1/mbpaddedwide/799/genMid.1846799_2_0.jpg https://ssl.cdn-redfin.com/photo/1/mbpaddedwide/799/genMid.1846799_6_0.jpg,—,—,7940,—,0.1823,1,21,3,0.1823,None,None,None,None,$75000
https://www.redfin.com/WI/Milwaukee/8800-W-Monrovia-Ave-53225/home/90345384,8800 W Monrovia Ave,Listing provided courtesy of Exit Realty XL.,Milwaukee County,https://ssl.cdn-redfin.com/photo/128/bigphoto/999/1768999_0.jpg https://ssl.cdn-redfin.com/photo/128/mbpaddedwide/999/genMid.1768999_3_0.jpg https://ssl.cdn-redfin.com/photo/128/mbpaddedwide/999/genMid.1768999_9_0.jpg,2,1,1272,1957,None,24,39,34,None,None,None,None,None,$134900
https://www.redfin.com/WI/Black-Earth/4070-Red-Hawk-Run-53515/home/57912204,4070 Red Hawk Run,Listing provided courtesy of Bunbury & Assoc, REALTORS.,Dane County,https://ssl.cdn-redfin.com/photo/129/bigphoto/133/1742133_4.jpg https://ssl.cdn-redfin.com/photo/129/mbpaddedwide/133/genMid.1742133_1_4.jpg https://ssl.cdn-redfin.com/photo/129/mbpaddedwide/133/genMid.1742133_4_4.jpg,—,—,0.40,—,None,2,None,20,None,None,None,None,None,$82500
https://www.redfin.com/CA/Apple-Valley/15575-Wichita-Rd-92307/home/3711051,15575 Wichita Rd,Apple Valley, CA 92307,San Bernardino County,https://ssl.cdn-redfin.com/photo/45/bigphoto/538/540538_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/538/genMid.540538_8_0.jpg https://ssl.cdn-redfin.com/photo/45/mbpaddedwide/538/genMid.540538_24_0.jpg,3,2,1765,1984,None,11,23,28,None,None,None,None,None,$395000
https://www.redfin.com/TN/SUMMERTOWN/ROCKDALE-TRCE-38483/home/87398274,0 Rockdale Trace Rd,Summertown, TN 38483,Lewis County,https://ssl.cdn-redfin.com/photo/145/bigphoto/768/2305768_0.jpg https://ssl.cdn-redfin.com/photo/145/mbpaddedwide/768/genMid.2305768_12_0.jpg https://ssl.cdn-redfin.com/photo/145/mbpaddedwide/768/genMid.2305768_36_0.jpg,—,—,277.00,—,277,0,None,None,277,None,None,None,None,$1200000
https://www.redfin.com/OR/Unknown/NW-Crane-Ln-97148/home/176705280,0 NW Crane,Yamhill, OR 97148,Yamhill County,https://ssl.cdn-redfin.com/photo/84/bigphoto/253/21170253_0.jpg https://ssl.cdn-redfin.com/photo/84/mbpaddedwide/253/genMid.21170253_4_0.jpg https://ssl.cdn-redfin.com/photo/84/mbpaddedwide/253/genMid.21170253_13_0.jpg,—,—,—,—,None,0,None,1,None,None,None,None,None,$2649000
https://www.redfin.com/NY/North-Syracuse/336-Chestnut-St-13212/home/92437429,336 Chestnut St,Clay, NY 13212,Onondaga County,https://ssl.cdn-redfin.com/photo/189/bigphoto/119/S1363119_0.jpg https://ssl.cdn-redfin.com/photo/189/mbpaddedwide/119/genMid.S1363119_11_0.jpg https://ssl.cdn-redfin.com/photo/189/mbpaddedwide/119/genMid.S1363119_35_0.jpg,3,1,1160,1930,None,20,None,30,None,None,None,None,None,$84900
https://www.redfin.com/CA/Marina/2721-Sea-Glass-Ave-93933/home/143185491,2721 Sea Glass Ave,MARINA, CA 93933,Monterey County,https://ssl.cdn-redfin.com/photo/8/bigphoto/971/ML81866971_0.jpg https://ssl.cdn-redfin.com/photo/8/mbpaddedwide/971/genMid.ML81866971_4_0.jpg https://ssl.cdn-redfin.com/photo/8/mbpaddedwide/971/genMid.ML81866971_14_0.jpg,3,2.5,2118,2017,None,24,None,58,None,None,None,None,None,$1075000
https://www.redfin.com/NJ/Newark/650-S-19th-St-07103/home/36236537,650 S 19th St,Newark, NJ 07103,Essex County,https://ssl.cdn-redfin.com/photo/120/bigphoto/239/21036239_0.jpg,6,2,—,1910,None,64,59,58,None,None,None,None,None,$400000
https://www.redfin.com/OH/Conneaut/281-Center-St-44030/home/79843028,281 Center St,Conneaut, OH 44030,Ashtabula County,https://ssl.cdn-redfin.com/photo/159/bigphoto/984/4305984_0.jpg https://ssl.cdn-redfin.com/photo/159/mbpaddedwide/984/genMid.4305984_2_0.jpg https://ssl.cdn-redfin.com/photo/159/mbpaddedwide/984/genMid.4305984_6_0.jpg,3,1,1044,1920,0.09,36,None,36,0.09,None,Forced Air| Gas,None,None,$89900
https://www.redfin.com/TX/Keller/844-Keller-Smithfield-Rd-S-76248/home/31125119,844 Keller Smithfield Rd S,Keller, TX 76248,Tarrant County,https://ssl.cdn-redfin.com/photo/90/bigphoto/263/14620263_3.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/263/genMid.14620263_9_3.jpg https://ssl.cdn-redfin.com/photo/90/mbpaddedwide/263/genMid.14620263_27_3.jpg,6,7,7978,2006,None,4,None,23,None,None,None,None,None,$3150000
https://www.redfin.com/NJ/Magnolia/201-Lincoln-Ave-08049/home/36255104,201 W Lincoln Ave,Magnolia, NJ 08049,Camden County,https://ssl.cdn-redfin.com/photo/235/bigphoto/084/NJCD2005084_5.jpg,4,2,2234,1930,None,43,None,39,None,None,None,None,None,$275000
https://www.redfin.com/FL/Cutler-Bay/22721-SW-88th-Pl-33190/unit-15-19/home/43472651,22721 SW 88th Pl Unit 15-19,Cutler Bay, FL 33190,Miami-Dade County,https://ssl.cdn-redfin.com/photo/105/bigphoto/519/A11120519_0.jpg,3,2.5,1515,2010,None,3,16,52,None,Central Air,Central,None,None,$325000
